epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4072.24,1.39119,0.99322,0.92294,0.47288,0.38077,0.37893,0.16906,1.37106,1.00294,0.91813,0.008053,0.008053,0.008053
61,4174.6,1.38901,0.9964,0.92326,0.47428,0.38231,0.38027,0.17023,1.36309,1.00121,0.91677,0.00802,0.00802,0.00802
62,4277.08,1.39084,0.99452,0.92139,0.47569,0.38385,0.38161,0.1714,1.36674,0.99866,0.91744,0.007987,0.007987,0.007987
63,4380.28,1.39148,0.99578,0.92078,0.47709,0.38538,0.38294,0.17258,1.36244,0.99689,0.91579,0.007954,0.007954,0.007954
64,4477.59,1.39236,0.987,0.92176,0.47849,0.38692,0.38428,0.17375,1.36226,1.00209,0.91705,0.007921,0.007921,0.007921
65,4583.61,1.38983,0.98691,0.92198,0.4799,0.38846,0.38562,0.17492,1.36378,0.99511,0.91683,0.007888,0.007888,0.007888
66,4690.95,1.38017,0.98239,0.92049,0.4813,0.39,0.38696,0.17609,1.35792,0.99318,0.91487,0.007855,0.007855,0.007855
67,4787.8,1.38209,0.98211,0.91796,0.48271,0.39154,0.38829,0.17726,1.35548,0.99627,0.91439,0.007822,0.007822,0.007822
68,4884.73,1.39715,0.99008,0.92064,0.48411,0.39308,0.38963,0.17843,1.3532,0.99416,0.91415,0.007789,0.007789,0.007789
69,4985.12,1.37801,0.97704,0.92069,0.48552,0.39462,0.39097,0.1796,1.35371,0.98944,0.9155,0.007756,0.007756,0.007756
70,5079.13,1.37702,0.97987,0.91923,0.48692,0.39615,0.39231,0.18077,1.35451,0.99002,0.91389,0.007723,0.007723,0.007723
71,5179.5,1.3806,0.97966,0.91907,0.48833,0.39769,0.39365,0.18194,1.35323,0.99046,0.91379,0.00769,0.00769,0.00769
72,5276.16,1.36623,0.96525,0.91849,0.48973,0.39923,0.39498,0.18311,1.35495,0.98652,0.91528,0.007657,0.007657,0.007657
73,5378.53,1.37155,0.97076,0.9175,0.49114,0.40077,0.39632,0.18428,1.35282,0.98749,0.91465,0.007624,0.007624,0.007624
74,5484.61,1.37418,0.97256,0.91577,0.49254,0.40231,0.39766,0.18545,1.35479,0.98501,0.91438,0.007591,0.007591,0.007591
75,5590.41,1.36551,0.96667,0.91778,0.49395,0.40385,0.399,0.18662,1.35259,0.98061,0.91368,0.007558,0.007558,0.007558
76,5694.75,1.38002,0.97651,0.91833,0.49535,0.40538,0.40033,0.18779,1.35093,0.98145,0.91321,0.007525,0.007525,0.007525
77,5798.99,1.37705,0.9734,0.9185,0.49676,0.40692,0.40167,0.18896,1.35546,0.98492,0.91444,0.007492,0.007492,0.007492
78,5906.26,1.37949,0.9676,0.9183,0.49816,0.40846,0.40301,0.19013,1.34842,0.98254,0.91216,0.007459,0.007459,0.007459
79,6019.34,1.36371,0.96167,0.91606,0.49957,0.41,0.40435,0.1913,1.34929,0.98157,0.91222,0.007426,0.007426,0.007426
80,6132.06,1.36745,0.96595,0.91796,0.50097,0.41154,0.40569,0.19247,1.3479,0.97929,0.91214,0.007393,0.007393,0.007393
81,6235.43,1.37002,0.96804,0.91574,0.50237,0.41308,0.40702,0.19365,1.34903,0.98002,0.91258,0.00736,0.00736,0.00736
82,6330.33,1.36951,0.96491,0.91675,0.50378,0.41462,0.40836,0.19482,1.34574,0.97835,0.91086,0.007327,0.007327,0.007327
83,6401.84,1.36623,0.95952,0.91655,0.50518,0.41615,0.4097,0.19599,1.34441,0.97335,0.91134,0.007294,0.007294,0.007294
84,6471.68,1.3644,0.9617,0.91479,0.50659,0.41769,0.41104,0.19716,1.34189,0.97193,0.91144,0.007261,0.007261,0.007261
85,6542.22,1.36361,0.95781,0.91418,0.50799,0.41923,0.41237,0.19833,1.34302,0.97175,0.9114,0.007228,0.007228,0.007228
86,6612.93,1.35998,0.95498,0.91425,0.5094,0.42077,0.41371,0.1995,1.34279,0.97371,0.91161,0.007195,0.007195,0.007195
87,6675.7,1.35758,0.95023,0.91474,0.5108,0.42231,0.41505,0.20067,1.3446,0.9713,0.91197,0.007162,0.007162,0.007162
88,6733.52,1.37169,0.96408,0.91632,0.51221,0.42385,0.41639,0.20184,1.33929,0.96796,0.91053,0.007129,0.007129,0.007129
89,6791.44,1.35507,0.9465,0.91268,0.51361,0.42538,0.41773,0.20301,1.34093,0.97024,0.91095,0.007096,0.007096,0.007096
90,6849.44,1.36167,0.95313,0.91406,0.51502,0.42692,0.41906,0.20418,1.33845,0.96755,0.91019,0.007063,0.007063,0.007063
91,6907.46,1.3563,0.95575,0.91344,0.51642,0.42846,0.4204,0.20535,1.34016,0.96767,0.91063,0.00703,0.00703,0.00703
92,6965.01,1.34824,0.94623,0.91376,0.51783,0.43,0.42174,0.20652,1.34076,0.96802,0.91134,0.006997,0.006997,0.006997
93,7023.18,1.35228,0.94444,0.91193,0.51923,0.43154,0.42308,0.20769,1.34146,0.96948,0.91108,0.006964,0.006964,0.006964
94,7081.01,1.34959,0.93917,0.91206,0.52064,0.43308,0.42441,0.20886,1.33872,0.96972,0.91074,0.006931,0.006931,0.006931
95,7139.57,1.35658,0.94969,0.91315,0.52204,0.43462,0.42575,0.21003,1.33751,0.96648,0.9106,0.006898,0.006898,0.006898
96,7197.55,1.351,0.94161,0.91259,0.52344,0.43615,0.42709,0.2112,1.33344,0.96658,0.90907,0.006865,0.006865,0.006865
97,7255.59,1.35628,0.9444,0.91184,0.52485,0.43769,0.42843,0.21237,1.33511,0.96569,0.90865,0.006832,0.006832,0.006832
98,7313.8,1.35467,0.94157,0.91207,0.52625,0.43923,0.42977,0.21355,1.33438,0.96698,0.90937,0.006799,0.006799,0.006799
99,7372.92,1.35576,0.943,0.91043,0.52766,0.44077,0.4311,0.21472,1.33352,0.96423,0.90896,0.006766,0.006766,0.006766
100,7431.37,1.35253,0.93997,0.91121,0.52906,0.44231,0.43244,0.21589,1.33267,0.96354,0.90818,0.006733,0.006733,0.006733
101,7489.68,1.35493,0.94284,0.91114,0.53047,0.44385,0.43378,0.21706,1.33398,0.9624,0.90914,0.0067,0.0067,0.0067
102,7548.71,1.35065,0.93967,0.91183,0.53187,0.44538,0.43512,0.21823,1.33266,0.96068,0.90871,0.006667,0.006667,0.006667
103,7607.08,1.34201,0.93485,0.91072,0.53328,0.44692,0.43645,0.2194,1.33237,0.9623,0.90867,0.006634,0.006634,0.006634
104,7664.82,1.33823,0.92621,0.91064,0.53468,0.44846,0.43779,0.22057,1.33275,0.96197,0.90911,0.006601,0.006601,0.006601
105,7723.65,1.35081,0.93506,0.91184,0.53609,0.45,0.43913,0.22174,1.33246,0.95959,0.90918,0.006568,0.006568,0.006568
106,7781.99,1.34599,0.93825,0.91052,0.53749,0.45154,0.44047,0.22291,1.33257,0.96191,0.90922,0.006535,0.006535,0.006535
107,7840.53,1.34804,0.93328,0.9097,0.5389,0.45308,0.44181,0.22408,1.3329,0.96166,0.90873,0.006502,0.006502,0.006502
108,7898.73,1.35078,0.93603,0.91047,0.5403,0.45462,0.44314,0.22525,1.33272,0.96201,0.90837,0.006469,0.006469,0.006469
109,7956.59,1.33811,0.92782,0.90911,0.54171,0.45615,0.44448,0.22642,1.33369,0.96238,0.90848,0.006436,0.006436,0.006436
110,8014.56,1.34312,0.93061,0.91093,0.54311,0.45769,0.44582,0.22759,1.33236,0.96048,0.90825,0.006403,0.006403,0.006403
111,8072.32,1.34394,0.92959,0.90906,0.54452,0.45923,0.44716,0.22876,1.33187,0.95972,0.90773,0.00637,0.00637,0.00637
112,8131.44,1.33215,0.91964,0.90903,0.54592,0.46077,0.44849,0.22993,1.33121,0.95998,0.90802,0.006337,0.006337,0.006337
113,8189.46,1.34068,0.92923,0.90912,0.54732,0.46231,0.44983,0.2311,1.33125,0.96014,0.90818,0.006304,0.006304,0.006304
114,8247.27,1.34187,0.92652,0.9094,0.54873,0.46385,0.45117,0.23227,1.33088,0.95954,0.90779,0.006271,0.006271,0.006271
115,8305.27,1.33422,0.9209,0.90866,0.55013,0.46538,0.45251,0.23344,1.32928,0.95696,0.90707,0.006238,0.006238,0.006238
116,8364.73,1.3365,0.91922,0.90724,0.55154,0.46692,0.45385,0.23462,1.32889,0.95816,0.90716,0.006205,0.006205,0.006205
117,8423.4,1.34497,0.9286,0.91011,0.55294,0.46846,0.45518,0.23579,1.32855,0.95617,0.90739,0.006172,0.006172,0.006172
118,8482.12,1.33612,0.9217,0.91006,0.55435,0.47,0.45652,0.23696,1.32808,0.95346,0.90737,0.006139,0.006139,0.006139
119,8541.55,1.33624,0.92258,0.90788,0.55575,0.47154,0.45786,0.23813,1.32825,0.95472,0.90759,0.006106,0.006106,0.006106
120,8599.91,1.33819,0.92421,0.90925,0.55716,0.47308,0.4592,0.2393,1.32691,0.95447,0.90688,0.006073,0.006073,0.006073
121,8658.41,1.33248,0.91934,0.90947,0.55856,0.47462,0.46054,0.24047,1.32529,0.95398,0.90629,0.00604,0.00604,0.00604
122,8716.21,1.33636,0.92185,0.90863,0.55997,0.47615,0.46187,0.24164,1.32548,0.95304,0.90614,0.006007,0.006007,0.006007
123,8775.3,1.33049,0.91707,0.90881,0.56137,0.47769,0.46321,0.24281,1.32459,0.95365,0.90589,0.005974,0.005974,0.005974
124,8836.32,1.33014,0.91701,0.90723,0.56278,0.47923,0.46455,0.24398,1.32467,0.95309,0.9059,0.005941,0.005941,0.005941
125,8898.5,1.33132,0.91313,0.90649,0.56418,0.48077,0.46589,0.24515,1.32555,0.95401,0.90624,0.005908,0.005908,0.005908
126,8962.45,1.33386,0.91424,0.90836,0.56559,0.48231,0.46722,0.24632,1.32562,0.95392,0.90633,0.005875,0.005875,0.005875
127,9027.84,1.3332,0.91585,0.90709,0.56699,0.48385,0.46856,0.24749,1.32422,0.95323,0.90586,0.005842,0.005842,0.005842
128,9093.58,1.33193,0.90985,0.90794,0.56839,0.48538,0.4699,0.24866,1.32339,0.95272,0.90591,0.005809,0.005809,0.005809
129,9157.54,1.32806,0.91273,0.90703,0.5698,0.48692,0.47124,0.24983,1.32392,0.95221,0.90592,0.005776,0.005776,0.005776
130,9221.73,1.32891,0.912,0.90686,0.5712,0.48846,0.47258,0.251,1.32351,0.95219,0.90597,0.005743,0.005743,0.005743
131,9284.91,1.33058,0.91203,0.90601,0.57261,0.49,0.47391,0.25217,1.3224,0.95215,0.90587,0.00571,0.00571,0.00571
132,9345.59,1.32417,0.91037,0.90672,0.57401,0.49154,0.47525,0.25334,1.32219,0.95209,0.90616,0.005677,0.005677,0.005677
133,9406.45,1.32435,0.90745,0.90738,0.57542,0.49308,0.47659,0.25452,1.32296,0.95137,0.90602,0.005644,0.005644,0.005644
134,9467.42,1.31732,0.90067,0.90611,0.57682,0.49462,0.47793,0.25569,1.32229,0.95232,0.90569,0.005611,0.005611,0.005611
135,9528.36,1.32646,0.9087,0.90719,0.57823,0.49615,0.47926,0.25686,1.322,0.9524,0.90578,0.005578,0.005578,0.005578
136,9593.17,1.32507,0.90817,0.90562,0.57963,0.49769,0.4806,0.25803,1.32195,0.9523,0.90579,0.005545,0.005545,0.005545
137,9654.58,1.31929,0.90082,0.90393,0.58104,0.49923,0.48194,0.2592,1.32231,0.95239,0.90552,0.005512,0.005512,0.005512
138,9716.18,1.33044,0.90808,0.90623,0.58244,0.50077,0.48328,0.26037,1.32113,0.9513,0.90529,0.005479,0.005479,0.005479
139,9776.55,1.33007,0.90979,0.90571,0.58385,0.50231,0.48462,0.26154,1.3204,0.9509,0.90523,0.005446,0.005446,0.005446
140,9838.84,1.32318,0.90385,0.90467,0.58525,0.50385,0.48595,0.26271,1.321,0.95111,0.90534,0.005413,0.005413,0.005413
141,9900.84,1.31803,0.89994,0.90456,0.58666,0.50538,0.48729,0.26388,1.32129,0.95033,0.9054,0.00538,0.00538,0.00538
142,9965.58,1.32204,0.90051,0.90485,0.58806,0.50692,0.48863,0.26505,1.32067,0.9501,0.90515,0.005347,0.005347,0.005347
143,10034.1,1.32477,0.90136,0.90463,0.58946,0.50846,0.48997,0.26622,1.32079,0.95025,0.9051,0.005314,0.005314,0.005314
144,10108,1.31957,0.90012,0.90634,0.59087,0.51,0.4913,0.26739,1.32013,0.94971,0.90491,0.005281,0.005281,0.005281
145,10176.5,1.32051,0.8971,0.90556,0.59227,0.51154,0.49264,0.26856,1.31926,0.94905,0.90472,0.005248,0.005248,0.005248
146,10245.5,1.32037,0.89824,0.90489,0.59368,0.51308,0.49398,0.26973,1.31988,0.94932,0.90475,0.005215,0.005215,0.005215
147,10630.6,1.3102,0.89227,0.90368,0.59508,0.51462,0.49532,0.2709,1.32009,0.94894,0.90478,0.005182,0.005182,0.005182
148,10688.8,1.31219,0.89477,0.90276,0.59649,0.51615,0.49666,0.27207,1.32046,0.94824,0.90478,0.005149,0.005149,0.005149
149,10758.8,1.31732,0.89582,0.90423,0.59789,0.51769,0.49799,0.27324,1.3205,0.948,0.90467,0.005116,0.005116,0.005116
150,10843,1.3118,0.89251,0.90194,0.5993,0.51923,0.49933,0.27441,1.31958,0.94753,0.90457,0.005083,0.005083,0.005083
151,10931.1,1.31905,0.89495,0.90387,0.6007,0.52077,0.50067,0.27559,1.31922,0.94706,0.90465,0.00505,0.00505,0.00505
152,11014.6,1.31813,0.89267,0.90373,0.60211,0.52231,0.50201,0.27676,1.31886,0.94722,0.90445,0.005017,0.005017,0.005017
153,11100.1,1.30777,0.88903,0.90252,0.60351,0.52385,0.50334,0.27793,1.31915,0.94744,0.90448,0.004984,0.004984,0.004984
154,11194.6,1.31243,0.88872,0.9037,0.60492,0.52538,0.50468,0.2791,1.31932,0.94747,0.90444,0.004951,0.004951,0.004951
155,11254.3,1.31505,0.89235,0.90246,0.60632,0.52692,0.50602,0.28027,1.31873,0.94746,0.90421,0.004918,0.004918,0.004918
156,11311.7,1.30968,0.88949,0.90225,0.60773,0.52846,0.50736,0.28144,1.31904,0.94704,0.9043,0.004885,0.004885,0.004885
157,11369.9,1.31168,0.88617,0.90225,0.60913,0.53,0.5087,0.28261,1.31884,0.94653,0.90429,0.004852,0.004852,0.004852
158,11428.1,1.30824,0.88555,0.90206,0.61054,0.53154,0.51003,0.28378,1.31832,0.94588,0.90431,0.004819,0.004819,0.004819
159,11488.6,1.30822,0.88703,0.90247,0.61194,0.53308,0.51137,0.28495,1.31815,0.9453,0.90428,0.004786,0.004786,0.004786
160,11547.9,1.31513,0.88774,0.90338,0.61334,0.53462,0.51271,0.28612,1.31835,0.94507,0.90424,0.004753,0.004753,0.004753
161,11605.9,1.30533,0.88199,0.90156,0.61475,0.53615,0.51405,0.28729,1.31799,0.94482,0.90413,0.00472,0.00472,0.00472
162,11664,1.30529,0.87821,0.90173,0.61615,0.53769,0.51538,0.28846,1.31792,0.94484,0.90407,0.004687,0.004687,0.004687
163,11722.5,1.29939,0.87973,0.90237,0.61756,0.53923,0.51672,0.28963,1.31765,0.94454,0.90405,0.004654,0.004654,0.004654
